ButtonTranslator#getAccessibleName():::Get the name of this object.:::return->getLabel
ButtonTranslator#setAccessibleName(String):::Set the name of this object.:::setLabel
ButtonTranslator#getAccessibleRole()::: button translator get accessible role:::return
CheckboxTranslator#getAccessibleStateSet():::Get the state of this object.:::states->super->getAccessibleStateSet->if->getState->states->add->return
CheckboxTranslator#getAccessibleName():::Get the name of this object.:::return->getLabel
CheckboxTranslator#setAccessibleName(String):::Set the name of this object.:::setLabel
CheckboxTranslator#getAccessibleRole()::: checkbox translator get accessible role:::return
LabelTranslator#getAccessibleName()::: label translator get accessible name:::return->getText
LabelTranslator#setAccessibleName(String):::Set the name of this object.:::setText
LabelTranslator#getAccessibleRole()::: label translator get accessible role:::return
ListTranslator#getAccessibleStateSet():::Get the state of this object.:::states->super->getAccessibleStateSet->if->isMultipleMode->states->add->if->getSelectedItems->states->add->return
ListTranslator#getAccessibleRole()::: list translator get accessible role:::return
TextComponentTranslator#getAccessibleRole()::: text component translator get accessible role:::return
