FuncHere#execute(XPathContext):::The here function returns a node-set containing the attribute or processing instruction node or the parent element of the text node that directly bears the XPath expression:::xpathOwnerNode->xctxt->getOwnerObject->if->return->xpathOwnerNodeDTM->xctxt->getDTMHandleFromNode->currentNode->xctxt->getCurrentNode->dtm->xctxt->getDTM->docContext->dtm->getDocument->if->error->currentDoc->XMLUtils->dtm->getNode->getOwnerDocument->xpathOwnerDoc->XMLUtils->getOwnerDocument->if->throw->I18n->translate->new->TransformerException->nodes->xctxt->getDTMManager->new->XNodeSet->nodeSet->nodes->mutableNodeset->hereNode->switch->dtm->getNodeType->nodeSet->addNode->break->dtm->getParent->nodeSet->addNode->break->break->nodeSet->detach->return
FuncHere#fixupVariables(List, int):::No arguments to process, so this does nothing.:::
TransformBase64Decode#engineGetURI():::Method engineGetURI  :::return
TransformBase64Decode#enginePerformTransform(XMLSignatureInput, Transform):::Method enginePerformTransform:::return->enginePerformTransform
TransformC14NExclusive#engineGetURI():::Method engineGetURI  :::return
TransformC14NExclusiveWithComments#engineGetURI():::Method engineGetURI :::return
TransformEnvelopedSignature#engineGetURI():::Method engineGetURI  :::return
TransformXPath#engineGetURI():::Method engineGetURI  :::return
TransformXPath#enginePerformTransform(XMLSignatureInput, OutputStream, Transform):::Method enginePerformTransform :::try->xpathElement->XMLUtils->transformObject->getElement->getFirstChild->selectDsNode->if->exArgs->throw->new->TransformationException->xpathnode->xpathElement->getFirstChild->if->throw->new->DOMException->str->XMLUtils->getStrFromNode->input->needsCircumvent->setNeedsToBeExpanded->xpathFactory->XPathFactory->newInstance->xpathAPIInstance->xpathFactory->newXPathAPI->input->new->XPathNodeFilter->addNodeFilter->input->setNodeSet->return->catch->throw->new->TransformationException->finally
TransformXPath2Filter#engineGetURI():::Method engineGetURI  :::return
TransformXPath2Filter#enginePerformTransform(XMLSignatureInput, OutputStream, Transform):::Method enginePerformTransform :::try->unionNodes->new->ArrayList<>->subtractNodes->new->ArrayList<>->intersectNodes->new->ArrayList<>->xpathElements->XMLUtils->transformObject->getElement->getFirstChild->selectNodes->if->exArgs->throw->new->TransformationException->inputDoc->if->input->getSubNode->XMLUtils->input->getSubNode->getOwnerDocument->else->XMLUtils->input->getNodeSet->getOwnerDocument->for->i->input->new->XPath2NodeFilter->addNodeFilter->input->setNodeSet->return->catch->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->throw->new->TransformationException->finally
XPath2NodeFilter#rooted(Node, Set):::Method rooted:::if->nodeList->isEmpty->return->if->nodeList->contains->return->foreach->if->XMLUtils->isDescendantOrSelf->return->return
XPath2NodeFilter#inList(Node, Set):::Method rooted:::return->nodeList->contains
TransformXPointer#enginePerformTransform(XMLSignatureInput, OutputStream, Transform):::Method enginePerformTransform:::exArgs->throw->new->TransformationException
TransformXSLT#engineGetURI():::Method engineGetURI  :::return
