CharArrayWrapper#getChar(int)::: char array wrapper get char:::return
CharArrayWrapper#getLength()::: char array wrapper get length:::return
IntArrayWrapper#getInt(int)::: int array wrapper get int:::return
IntArrayWrapper#getLength()::: int array wrapper get length:::return
LongArrayWrapper#getLong(int)::: long array wrapper get long:::return
LongArrayWrapper#getLength()::: long array wrapper get length:::return
StringArrayWrapper#getString(int)::: string array wrapper get string:::return
StringArrayWrapper#getLength()::: string array wrapper get length:::return
XResourceBundle#getContents():::Get the association list.:::return->new->ObjectArrs->new->charArr->new->CharArrayWrapper->new->charArr->new->CharArrayWrapper
XResourceBundleBase#getMessageKey(int):::Get the error string associated with the error code:::
XResourceBundleBase#getWarningKey(int):::Get the warning string associated with the error code:::
XResources_en#getContents():::Get the association list.:::return
XResources_zh_CN#getContents():::Get the association list.:::return
