DocSourcePositions#getStartPosition(CompilationUnitTree, DocCommentTree, DocTree):::Returns the starting position of the tree within the comment within the file:::
DocSourcePositions#getEndPosition(CompilationUnitTree, DocCommentTree, DocTree):::Returns the ending position of the tree within the comment within the file:::
DocTreeFactory#newAttributeTree(Name, ValueKind, List):::Create a new AttributeTree object, to represent an HTML attribute in an HTML tag.:::
DocTreeFactory#newAuthorTree(List):::Create a new AuthorTree object, to represent an  tag.:::
DocTreeFactory#newCodeTree(TextTree):::Create a new CodeTree object, to represent a  tag.:::
DocTreeFactory#newCommentTree(String):::Create a new CommentTree, to represent an HTML comment.:::
DocTreeFactory#newDeprecatedTree(List):::Create a new DeprecatedTree object, to represent an  tag.:::
DocTreeFactory#newDocCommentTree(List, List):::Create a new DocCommentTree object, to represent a complete doc comment.:::
DocTreeFactory#newDocCommentTree(List, List, List, List):::Create a new DocCommentTree object, to represent the enitire doc comment.:::
DocTreeFactory#newDocRootTree():::Create a new DocRootTree object, to represent an  tag.:::
DocTreeFactory#newDocTypeTree(String):::Create a new DocTypeTree, to represent a DOCTYPE HTML declaration.:::
DocTreeFactory#newEndElementTree(Name):::Create a new EndElement object, to represent the end of an HTML element.:::
DocTreeFactory#newEntityTree(Name):::Create a new EntityTree object, to represent an HTML entity.:::
DocTreeFactory#newErroneousTree(String, Diagnostic):::Create a new ErroneousTree object, to represent some unparseable input.:::
DocTreeFactory#newExceptionTree(ReferenceTree, List):::Create a new ExceptionTree object, to represent an @exception  tag.:::
DocTreeFactory#newHiddenTree(List):::Create a new HiddenTree object, to represent an  tag.:::
DocTreeFactory#newIdentifierTree(Name):::Create a new IdentifierTree object, to represent an identifier, such as in a @param  tag.:::
DocTreeFactory#newIndexTree(DocTree, List):::Create a new IndexTree object, to represent an  tag.:::
DocTreeFactory#newInheritDocTree():::Create a new InheritDocTree object, to represent an  tag.:::
DocTreeFactory#newLinkTree(ReferenceTree, List):::Create a new LinkTree object, to represent a  tag.:::
DocTreeFactory#newLinkPlainTree(ReferenceTree, List):::Create a new LinkPlainTree object, to represent a  tag.:::
DocTreeFactory#newLiteralTree(TextTree):::Create a new LiteralTree object, to represent a  tag.:::
DocTreeFactory#newParamTree(boolean, IdentifierTree, List):::Create a new ParamTree object, to represent a @param  tag.:::
DocTreeFactory#newProvidesTree(ReferenceTree, List):::Create a new ProvidesTree object, to represent a @provides  tag.:::
DocTreeFactory#newReferenceTree(String):::Create a new ReferenceTree object, to represent a reference to an API element.:::
DocTreeFactory#newReturnTree(List):::Create a new ReturnTree object, to represent a @return  tag.:::
DocTreeFactory#newSeeTree(List):::Create a new SeeTree object, to represent a @see  tag.:::
DocTreeFactory#newSerialTree(List):::Create a new SerialTree object, to represent a @serial  tag.:::
DocTreeFactory#newSerialDataTree(List):::Create a new SerialDataTree object, to represent a @serialData  tag.:::
DocTreeFactory#newSerialFieldTree(IdentifierTree, ReferenceTree, List):::Create a new SerialFieldTree object, to represent a @serialField  tag.:::
DocTreeFactory#newSinceTree(List):::Create a new SinceTree object, to represent a @since  tag.:::
DocTreeFactory#newStartElementTree(Name, List, boolean):::Create a new StartElementTree object, to represent the start of an HTML element.:::
DocTreeFactory#newSummaryTree(List):::Create a new SummaryTree object, to represent a @summary  tag.:::throw->new->UnsupportedOperationException
DocTreeFactory#newTextTree(String):::Create a new TextTree object, to represent some plain text.:::
DocTreeFactory#newThrowsTree(ReferenceTree, List):::Create a new ThrowsTree object, to represent a @throws  tag.:::
DocTreeFactory#newUnknownBlockTagTree(Name, List):::Create a new UnknownBlockTagTree object, to represent an unrecognized block tag.:::
DocTreeFactory#newUnknownInlineTagTree(Name, List):::Create a new UnknownInlineTagTree object, to represent an unrecognized inline tag.:::
DocTreeFactory#newUsesTree(ReferenceTree, List):::Create a new UsesTree object, to represent a @uses  tag.:::
DocTreeFactory#newValueTree(ReferenceTree):::Create a new ValueTree object, to represent a  tag.:::
DocTreeFactory#newVersionTree(List):::Create a new VersionTree object, to represent a  tag.:::
DocTreeFactory#at(int):::Set the position to be recorded in subsequent tree nodes created by this factory:::
DocTreeFactory#getFirstSentence(List):::Get the first sentence contained in a list of content:::
DocTreePath#getPath(TreePath, DocCommentTree, DocTree):::Returns a documentation tree path for a tree node within a compilation unit, or null if the node is not found.:::return->new->DocTreePath->getPath
DocTreePath#getPath(DocTreePath, DocTree):::Returns a documentation tree path for a tree node within a subtree identified by a DocTreePath object, or null if the node is not found.:::Objects->requireNonNull->Objects->requireNonNull->if->path->getLeaf->return->try->new->PathFinder->scan->catch->return->finally->return
DocTreePath#getTreePath():::Returns the TreePath associated with this path.:::return
DocTreePath#getDocComment():::Returns the DocCommentTree associated with this path.:::return
DocTreePath#getLeaf():::Returns the leaf node for this path.:::return
DocTreePath#getParentPath():::Returns the path for the enclosing node, or null if there is no enclosing node.:::return
DocTreePathScanner#scan(DocTreePath, P):::Scans a tree from a position identified by a tree path.:::try->return->path->getLeaf->accept->catch->finally
DocTreePathScanner#scan(DocTree, P):::Scans a single node:::if->return->prev->new->DocTreePath->try->return->tree->accept->catch->finally
DocTreePathScanner#getCurrentPath():::Returns the current path for the node, as built up by the currently active set of scan calls.:::return
DocTrees#instance(CompilationTask):::Returns a DocTrees object for a given CompilationTask.:::return->Trees->instance
DocTrees#instance(ProcessingEnvironment):::Returns a DocTrees object for a given ProcessingEnvironment.:::if->env->getClass->getName->equals->throw->new->IllegalArgumentException->return->getJavacTrees
DocTrees#getBreakIterator():::Returns the break iterator used to compute the first sentence of documentation comments:::
DocTrees#getDocCommentTree(TreePath):::Returns the doc comment tree, if any, for the Tree node identified by a given TreePath:::
DocTrees#getDocCommentTree(Element):::Returns the doc comment tree of the given element:::
DocTrees#getDocCommentTree(FileObject):::Returns the doc comment tree of the given file:::
DocTrees#getDocCommentTree(Element, String):::Returns the doc comment tree of the given file whose path is specified relative to the given element:::
DocTrees#getDocTreePath(FileObject, PackageElement):::Returns a doc tree path containing the doc comment tree of the given file:::
DocTrees#getElement(DocTreePath):::Returns the language model element referred to by the leaf node of the given DocTreePath, or null if unknown.:::
DocTrees#getFirstSentence(List):::Returns the list of DocTree representing the first sentence of a comment.:::
DocTrees#getSourcePositions():::Returns a utility object for accessing the source positions of documentation tree nodes.:::
DocTrees#printMessage(Diagnostic.Kind, CharSequence, com.sun.source.doctree.DocTree, com.sun.source.doctree.DocCommentTree, com.sun.source.tree.CompilationUnitTree):::Prints a message of the specified kind at the location of the tree within the provided compilation unit:::
DocTrees#setBreakIterator(BreakIterator):::Sets the break iterator to compute the first sentence of documentation comments.:::
DocTrees#getDocTreeFactory():::Returns a utility object for creating DocTree objects.:::
DocTreeScanner#scan(DocTree, P):::Scans a single node.:::return->node->accept
DocTreeScanner#scan(Iterable, P):::Scans a sequence of nodes.:::r->if->first->foreach->scan->scanAndReduce->return
DocTreeScanner#reduce(R, R):::Reduces two results into a combined result:::return
DocTreeScanner#visitAttribute(AttributeTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitAuthor(AuthorTree, P)::: This implementation scans the children in left to right order.:::return->node->getName->scan
DocTreeScanner#visitComment(CommentTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitDeprecated(DeprecatedTree, P)::: This implementation scans the children in left to right order.:::return->node->getBody->scan
DocTreeScanner#visitDocComment(DocCommentTree, P)::: This implementation scans the children in left to right order.:::r->node->getFirstSentence->scan->node->getBody->scanAndReduce->node->getBlockTags->scanAndReduce->return
DocTreeScanner#visitDocRoot(DocRootTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitDocType(DocTypeTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitEndElement(EndElementTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitEntity(EntityTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitErroneous(ErroneousTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitHidden(HiddenTree, P)::: This implementation scans the children in left to right order.:::return->node->getBody->scan
DocTreeScanner#visitIdentifier(IdentifierTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitIndex(IndexTree, P):::This implementation returns {@code null.:::r->node->getSearchTerm->scan->node->getDescription->scanAndReduce->return
DocTreeScanner#visitInheritDoc(InheritDocTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitLink(LinkTree, P)::: This implementation scans the children in left to right order.:::r->node->getReference->scan->node->getLabel->scanAndReduce->return
DocTreeScanner#visitLiteral(LiteralTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitParam(ParamTree, P)::: This implementation scans the children in left to right order.:::r->node->getName->scan->node->getDescription->scanAndReduce->return
DocTreeScanner#visitProvides(ProvidesTree, P)::: This implementation scans the children in left to right order.:::r->node->getServiceType->scan->node->getDescription->scanAndReduce->return
DocTreeScanner#visitReference(ReferenceTree, P):::This implementation returns {@code null.:::return
DocTreeScanner#visitReturn(ReturnTree, P)::: This implementation scans the children in left to right order.:::return->node->getDescription->scan
DocTreeScanner#visitSee(SeeTree, P)::: This implementation scans the children in left to right order.:::return->node->getReference->scan
DocTreeScanner#visitSerial(SerialTree, P)::: This implementation scans the children in left to right order.:::return->node->getDescription->scan
DocTreeScanner#visitSerialData(SerialDataTree, P)::: This implementation scans the children in left to right order.:::return->node->getDescription->scan
DocTreeScanner#visitSerialField(SerialFieldTree, P)::: This implementation scans the children in left to right order.:::r->node->getName->scan->node->getType->scanAndReduce->node->getDescription->scanAndReduce->return
DocTreeScanner#visitSince(SinceTree, P)::: This implementation scans the children in left to right order.:::return->node->getBody->scan
DocTreeScanner#visitStartElement(StartElementTree, P)::: This implementation scans the children in left to right order.:::return->node->getAttributes->scan
