ASCII_UCodeESC_CharStream#hexval(char)::: i_ code c_ char stream hexval:::switch->return->return->return->return->return->return->return->return->return->return->return->return->return->return->return->return->throw->new->java.io.IOException
ASCII_UCodeESC_CharStream#ExpandBuff(boolean)::: i_ code c_ char stream  expand buff:::newbuffer->new->charArr->newbufline->new->intArr->newbufcolumn->new->intArr->try->if->System->arraycopy->System->arraycopy->System->arraycopy->System->arraycopy->System->arraycopy->System->arraycopy->else->System->arraycopy->System->arraycopy->System->arraycopy->catch->throw->t->getMessage->new->Error->finally
ASCII_UCodeESC_CharStream#FillBuff()::: i_ code c_ char stream  fill buff:::i->if->try->if->inputStream->read->inputStream->close->throw->new->java.io.IOException->else->return->catch->if->backup->else->throw->finally
ASCII_UCodeESC_CharStream#ReadByte()::: i_ code c_ char stream  read byte:::if->FillBuff->return
ASCII_UCodeESC_CharStream#BeginToken()::: i_ code c_ char stream  begin token:::if->return->return->readChar
ASCII_UCodeESC_CharStream#AdjustBuffSize()::: i_ code c_ char stream  adjust buff size:::if->if->else->ExpandBuff->else->if->else->if->ExpandBuff->else
ASCII_UCodeESC_CharStream#UpdateLineColumn(char)::: i_ code c_ char stream  update line column:::if->else->if->if->else->switch->break->break->break->break
ASCII_UCodeESC_CharStream#readChar()::: i_ code c_ char stream read char:::if->return->c->if->AdjustBuffSize->if->ReadByte->UpdateLineColumn->backSlashCnt->for->try->while->ReadByte->hexval->ReadByte->hexval->ReadByte->hexval->ReadByte->hexval->catch->throw->new->Error->finally->if->return->else->backup->return->else->UpdateLineColumn->return
ASCII_UCodeESC_CharStream#getColumn()::: i_ code c_ char stream get column:::return
ASCII_UCodeESC_CharStream#getLine()::: i_ code c_ char stream get line:::return
ASCII_UCodeESC_CharStream#getEndColumn()::: i_ code c_ char stream get end column:::return
ASCII_UCodeESC_CharStream#getEndLine()::: i_ code c_ char stream get end line:::return
ASCII_UCodeESC_CharStream#getBeginColumn()::: i_ code c_ char stream get begin column:::return
ASCII_UCodeESC_CharStream#getBeginLine()::: i_ code c_ char stream get begin line:::return
ASCII_UCodeESC_CharStream#backup(int)::: i_ code c_ char stream backup:::if
ASCII_UCodeESC_CharStream#ReInit(java.io.InputStream, int, int, int)::: i_ code c_ char stream  re init:::if->new->charArr->new->intArr->new->intArr->new->byteArr
ASCII_UCodeESC_CharStream#ReInit(java.io.InputStream, int, int)::: i_ code c_ char stream  re init:::ReInit
ASCII_UCodeESC_CharStream#GetImage()::: i_ code c_ char stream  get image:::if->return->new->String->else->return->new->String->new->String
ASCII_UCodeESC_CharStream#GetSuffix(int)::: i_ code c_ char stream  get suffix:::ret->new->charArr->if->System->arraycopy->else->System->arraycopy->System->arraycopy->return
ASCII_UCodeESC_CharStream#Done()::: i_ code c_ char stream  done:::
ASCII_UCodeESC_CharStream#adjustBeginLineColumn(int, int):::Method to adjust line and column numbers for the start of a token.<BR>:::start->len->if->else->i->j->k->nextColDiff->columnDiff->while->if->while->if->else
ExpressionParser#peek()::: expression parser peek:::return->stack->peek
ExpressionParser#pop()::: expression parser pop:::return->stack->pop
ExpressionParser#push(LValue)::: expression parser push:::stack->push
ExpressionParser#getMassagedValue()::: expression parser get massaged value:::return->lastLValue->getMassagedValue
ExpressionParser.GetFrame#get()::: get frame get:::
ExpressionParser#evaluate(String, VirtualMachine, GetFrame)::: expression parser evaluate:::in->new->java.io.StringBufferInputStream->parser->new->ExpressionParser->value->parser->Expression->parser->pop->return->lastLValue->getValue
ExpressionParser#main(String[])::: expression parser main:::parser->print->if->println->new->ExpressionParser->else->if->println->try->new->java.io.FileInputStream->new->ExpressionParser->catch->println->return->finally->else->println->println->println->println->return->try->parser->Expression->print->println->catch->print->println->finally
ExpressionParser#Type()::: expression parser  type:::switch->jj_ntk->PrimitiveType->break->Name->break->jj_consume_token->throw->new->ParseException->while->switch->jj_ntk->break->break->jj_consume_token->jj_consume_token
ExpressionParser#PrimitiveType()::: expression parser  primitive type:::switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException
ExpressionParser#Name()::: expression parser  name:::sb->new->StringBuilder->jj_consume_token->sb->append->while->if->jj_2_1->else->break->jj_consume_token->jj_consume_token->sb->append->sb->append->if->return->sb->toString->throw->new->Error
ExpressionParser#NameList()::: expression parser  name list:::Name->while->switch->jj_ntk->break->break->jj_consume_token->Name
ExpressionParser#Expression()::: expression parser  expression:::if->jj_2_2->Assignment->else->switch->jj_ntk->ConditionalExpression->break->jj_consume_token->throw->new->ParseException
ExpressionParser#Assignment()::: expression parser  assignment:::PrimaryExpression->AssignmentOperator->Expression->exprVal->pop->pop->setValue->push
ExpressionParser#AssignmentOperator()::: expression parser  assignment operator:::switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException
ExpressionParser#ConditionalExpression()::: expression parser  conditional expression:::ConditionalOrExpression->switch->jj_ntk->jj_consume_token->Expression->jj_consume_token->ConditionalExpression->falseBranch->pop->trueBranch->pop->cond->pop->interiorGetValue->if->booleanValue->push->else->if->throw->new->ParseException->break
ExpressionParser#ConditionalOrExpression()::: expression parser  conditional or expression:::ConditionalAndExpression->while->switch->jj_ntk->break->break->jj_consume_token->ConditionalAndExpression->if->throw->new->ParseException
ExpressionParser#ConditionalAndExpression()::: expression parser  conditional and expression:::InclusiveOrExpression->while->switch->jj_ntk->break->break->jj_consume_token->InclusiveOrExpression->if->throw->new->ParseException
ExpressionParser#InclusiveOrExpression()::: expression parser  inclusive or expression:::ExclusiveOrExpression->while->switch->jj_ntk->break->break->jj_consume_token->ExclusiveOrExpression->if->throw->new->ParseException
ExpressionParser#ExclusiveOrExpression()::: expression parser  exclusive or expression:::AndExpression->while->switch->jj_ntk->break->break->jj_consume_token->AndExpression->if->throw->new->ParseException
ExpressionParser#AndExpression()::: expression parser  and expression:::EqualityExpression->while->switch->jj_ntk->break->break->jj_consume_token->EqualityExpression->if->throw->new->ParseException
ExpressionParser#EqualityExpression()::: expression parser  equality expression:::tok->InstanceOfExpression->while->switch->jj_ntk->break->break->switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException->InstanceOfExpression->left->pop->LValue->pop->booleanOperation->push
ExpressionParser#InstanceOfExpression()::: expression parser  instance of expression:::RelationalExpression->switch->jj_ntk->jj_consume_token->Type->if->throw->new->ParseException->break
ExpressionParser#RelationalExpression()::: expression parser  relational expression:::tok->ShiftExpression->while->switch->jj_ntk->break->break->switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException->ShiftExpression->left->pop->LValue->pop->booleanOperation->push
ExpressionParser#ShiftExpression()::: expression parser  shift expression:::AdditiveExpression->while->switch->jj_ntk->break->break->switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException->AdditiveExpression->if->throw->new->ParseException
ExpressionParser#AdditiveExpression()::: expression parser  additive expression:::tok->MultiplicativeExpression->while->switch->jj_ntk->break->break->switch->jj_ntk->jj_consume_token->break->jj_consume_token->break->jj_consume_token->throw->new->ParseException->MultiplicativeExpression->left->pop->LValue->pop->operation->push
