CallbackHandler#handle(Callback[])::: Retrieve or display the information requested in the provided Callbacks:::
ChoiceCallback#getPrompt():::Get the prompt.:::return
ChoiceCallback#getChoices():::Get the list of choices.:::return
ChoiceCallback#getDefaultChoice():::Get the defaultChoice.:::return
ChoiceCallback#allowMultipleSelections():::Get the boolean determining whether multiple selections from the choices list are allowed.:::return
ChoiceCallback#setSelectedIndex(int):::Set the selected choice.:::new->intArr
ChoiceCallback#setSelectedIndexes(int[]):::Set the selected choices.:::if->throw->new->UnsupportedOperationException
ChoiceCallback#getSelectedIndexes():::Get the selected choices.:::return
ConfirmationCallback#getPrompt():::Get the prompt.:::return
ConfirmationCallback#getMessageType():::Get the message type.:::return
ConfirmationCallback#getOptionType():::Get the option type:::return
ConfirmationCallback#getOptions():::Get the confirmation options.:::return
ConfirmationCallback#getDefaultOption():::Get the default option.:::return
ConfirmationCallback#setSelectedIndex(int):::Set the selected confirmation option.:::
ConfirmationCallback#getSelectedIndex():::Get the selected confirmation option.:::return
LanguageCallback#setLocale(Locale):::Set the retrieved Locale.:::
LanguageCallback#getLocale():::Get the retrieved Locale.:::return
NameCallback#getPrompt():::Get the prompt.:::return
NameCallback#getDefaultName():::Get the default name.:::return
NameCallback#setName(String):::Set the retrieved name.:::
NameCallback#getName():::Get the retrieved name.:::return
PasswordCallback#getPrompt():::Get the prompt.:::return
PasswordCallback#isEchoOn():::Return whether the password should be displayed as it is being typed.:::return
PasswordCallback#setPassword(char[]):::Set the retrieved password:::password->clone
PasswordCallback#getPassword():::Get the retrieved password:::return->inputPassword->clone
PasswordCallback#clearPassword():::Clear the retrieved password.:::if->for->i
TextInputCallback#getPrompt():::Get the prompt.:::return
TextInputCallback#getDefaultText():::Get the default text.:::return
TextInputCallback#setText(String):::Set the retrieved text.:::
TextInputCallback#getText():::Get the retrieved text.:::return
TextOutputCallback#getMessageType():::Get the message type.:::return
TextOutputCallback#getMessage():::Get the message to be displayed.:::return
UnsupportedCallbackException#getCallback():::Get the unrecognized Callback.:::return
