jdk.internal.misc.FileSystemOption#register(OpenOption)->void:::Register this internal option as an OpenOption.
jdk.internal.misc.FileSystemOption#register(CopyOption)->void:::Register this internal option as a CopyOption.
jdk.internal.misc.FileSystemOption#register(WatchEvent.Modifier)->void:::Register this internal option as a WatchEvent.Modifier.
jdk.internal.misc.FileSystemOption#register(WatchEvent.Modifier, T)->void:::Register this internal option as a WatchEvent.Modifier with the given parameter.
jdk.internal.misc.InnocuousThread#newThread(Runnable)->Thread:::Returns a new InnocuousThread with an auto-generated thread name and its context class loader is set to the system class loader.
jdk.internal.misc.InnocuousThread#newThread(String, Runnable)->Thread:::Returns a new InnocuousThread with its context class loader set to the system class loader.
jdk.internal.misc.InnocuousThread#newSystemThread(Runnable)->Thread:::Returns a new InnocuousThread with an auto-generated thread name
jdk.internal.misc.InnocuousThread#newSystemThread(String, Runnable)->Thread:::Returns a new InnocuousThread with null context class loader.
jdk.internal.misc.InnocuousThread#setUncaughtExceptionHandler(UncaughtExceptionHandler)->void::: innocuous thread set uncaught exception handler
jdk.internal.misc.InnocuousThread#setContextClassLoader(ClassLoader)->void::: innocuous thread set context class loader
jdk.internal.misc.InnocuousThread#eraseThreadLocals()->void:::Drops all thread locals (and inherited thread locals).
jdk.internal.misc.InnocuousThread#run()->void::: innocuous thread run
jdk.internal.misc.OSEnvironment#initialize()->void::: environment initialize
jdk.internal.misc.Signal#getNumber()->int::: signal get number
jdk.internal.misc.Signal#getName()->String:::Returns the signal name.
jdk.internal.misc.Signal#equals(Object)->boolean:::Compares the equality of two Signal objects.
jdk.internal.misc.Signal#hashCode()->int:::Returns a hashcode for this Signal.
jdk.internal.misc.Signal#toString()->String:::Returns a string representation of this signal
jdk.internal.misc.Signal#handle(Signal, Signal.Handler)->Signal.Handler:::Registers a signal handler.
jdk.internal.misc.Signal#raise(Signal)->void:::Raises a signal in the current process.
jdk.internal.misc.Signal.Handler#handle(Signal)->void:::Handle the given signal
jdk.internal.misc.Signal.NativeHandler#getHandler()->long::: native handler get handler
jdk.internal.misc.Signal.NativeHandler#handle(Signal)->void::: native handler handle
jdk.internal.misc.Signal.NativeHandler#toString()->String::: native handler to string
jdk.internal.misc.TerminatingThreadLocal#set(T)->void::: terminating thread local set
jdk.internal.misc.TerminatingThreadLocal#remove()->void::: terminating thread local remove
jdk.internal.misc.TerminatingThreadLocal#threadTerminated(T)->void:::Invoked by a thread when terminating and this thread-local has an associated value for the terminating thread (even if that value is null), so that any native resources maintained by the value can be released.
jdk.internal.misc.TerminatingThreadLocal#threadTerminated()->void:::Invokes the TerminatingThreadLocal's #threadTerminated() method on all instances registered in current thread.
jdk.internal.misc.TerminatingThreadLocal#register(TerminatingThreadLocal)->void:::Register given TerminatingThreadLocal
jdk.internal.misc.Unsafe#getUnsafe()->Unsafe:::Provides the caller with the capability of performing unsafe operations
jdk.internal.misc.Unsafe#getInt(Object, long)->int:::Fetches a value from a given Java variable
jdk.internal.misc.Unsafe#putInt(Object, long, int)->void:::Stores a value into a given Java variable
jdk.internal.misc.Unsafe#getObject(Object, long)->Object:::Fetches a reference value from a given Java variable.
jdk.internal.misc.Unsafe#putObject(Object, long, Object)->void:::Stores a reference value into a given Java variable
jdk.internal.misc.Unsafe#getBoolean(Object, long)->boolean::: unsafe get boolean
jdk.internal.misc.Unsafe#putBoolean(Object, long, boolean)->void::: unsafe put boolean
jdk.internal.misc.Unsafe#getByte(Object, long)->byte::: unsafe get byte
jdk.internal.misc.Unsafe#putByte(Object, long, byte)->void::: unsafe put byte
jdk.internal.misc.Unsafe#getShort(Object, long)->short::: unsafe get short
jdk.internal.misc.Unsafe#putShort(Object, long, short)->void::: unsafe put short
jdk.internal.misc.Unsafe#getChar(Object, long)->char::: unsafe get char
jdk.internal.misc.Unsafe#putChar(Object, long, char)->void::: unsafe put char
jdk.internal.misc.Unsafe#getLong(Object, long)->long::: unsafe get long
jdk.internal.misc.Unsafe#putLong(Object, long, long)->void::: unsafe put long
jdk.internal.misc.Unsafe#getFloat(Object, long)->float::: unsafe get float
jdk.internal.misc.Unsafe#putFloat(Object, long, float)->void::: unsafe put float
jdk.internal.misc.Unsafe#getDouble(Object, long)->double::: unsafe get double
jdk.internal.misc.Unsafe#putDouble(Object, long, double)->void::: unsafe put double
jdk.internal.misc.Unsafe#getAddress(Object, long)->long:::Fetches a native pointer from a given memory address
jdk.internal.misc.Unsafe#putAddress(Object, long, long)->void:::Stores a native pointer into a given memory address
jdk.internal.misc.Unsafe#getUncompressedObject(long)->Object:::Fetches an uncompressed reference value from a given native variable ignoring the VM's compressed references mode.
jdk.internal.misc.Unsafe#getByte(long)->byte:::Fetches a value from a given memory address
jdk.internal.misc.Unsafe#putByte(long, byte)->void:::Stores a value into a given memory address
jdk.internal.misc.Unsafe#getShort(long)->short::: unsafe get short
jdk.internal.misc.Unsafe#putShort(long, short)->void::: unsafe put short
jdk.internal.misc.Unsafe#getChar(long)->char::: unsafe get char
jdk.internal.misc.Unsafe#putChar(long, char)->void::: unsafe put char
jdk.internal.misc.Unsafe#getInt(long)->int::: unsafe get int
jdk.internal.misc.Unsafe#putInt(long, int)->void::: unsafe put int
jdk.internal.misc.Unsafe#getLong(long)->long::: unsafe get long
jdk.internal.misc.Unsafe#putLong(long, long)->void::: unsafe put long
jdk.internal.misc.Unsafe#getFloat(long)->float::: unsafe get float
jdk.internal.misc.Unsafe#putFloat(long, float)->void::: unsafe put float
jdk.internal.misc.Unsafe#getDouble(long)->double::: unsafe get double
jdk.internal.misc.Unsafe#putDouble(long, double)->void::: unsafe put double
jdk.internal.misc.Unsafe#getAddress(long)->long::: unsafe get address
jdk.internal.misc.Unsafe#putAddress(long, long)->void::: unsafe put address
jdk.internal.misc.Unsafe#allocateMemory(long)->long:::Allocates a new block of native memory, of the given size in bytes
jdk.internal.misc.Unsafe#reallocateMemory(long, long)->long:::Resizes a new block of native memory, to the given size in bytes
jdk.internal.misc.Unsafe#setMemory(Object, long, long, byte)->void:::Sets all bytes in a given block of memory to a fixed value (usually zero)
jdk.internal.misc.Unsafe#setMemory(long, long, byte)->void:::Sets all bytes in a given block of memory to a fixed value (usually zero)
jdk.internal.misc.Unsafe#copyMemory(Object, long, Object, long, long)->void:::Sets all bytes in a given block of memory to a copy of another block
jdk.internal.misc.Unsafe#copyMemory(long, long, long)->void:::Sets all bytes in a given block of memory to a copy of another block
jdk.internal.misc.Unsafe#copySwapMemory(Object, long, Object, long, long, long)->void:::Copies all elements from one block of memory to another block, *unconditionally* byte swapping the elements on the fly
jdk.internal.misc.Unsafe#copySwapMemory(long, long, long, long)->void:::Copies all elements from one block of memory to another block, byte swapping the elements on the fly
jdk.internal.misc.Unsafe#freeMemory(long)->void:::Disposes of a block of native memory, as obtained from #allocateMemory or #reallocateMemory
jdk.internal.misc.Unsafe#objectFieldOffset(Field)->long:::Reports the location of a given field in the storage allocation of its class
jdk.internal.misc.Unsafe#objectFieldOffset(Class, String)->long:::Reports the location of the field with a given name in the storage allocation of its class.
jdk.internal.misc.Unsafe#staticFieldOffset(Field)->long:::Reports the location of a given static field, in conjunction with #staticFieldBase
jdk.internal.misc.Unsafe#staticFieldBase(Field)->Object:::Reports the location of a given static field, in conjunction with #staticFieldOffset
jdk.internal.misc.Unsafe#shouldBeInitialized(Class)->boolean:::Detects if the given class may need to be initialized
jdk.internal.misc.Unsafe#ensureClassInitialized(Class)->void:::Ensures the given class has been initialized
jdk.internal.misc.Unsafe#arrayBaseOffset(Class)->int:::Reports the offset of the first element in the storage allocation of a given array class
jdk.internal.misc.Unsafe#arrayIndexScale(Class)->int:::Reports the scale factor for addressing elements in the storage allocation of a given array class
jdk.internal.misc.Unsafe#addressSize()->int:::Reports the size in bytes of a native pointer, as stored via #putAddress
jdk.internal.misc.Unsafe#pageSize()->int:::Reports the size in bytes of a native memory page (whatever that is)
jdk.internal.misc.Unsafe#defineClass(String, byte[], int, int, ClassLoader, ProtectionDomain)->Class:::Tells the VM to define a class, without security checks
jdk.internal.misc.Unsafe#defineClass0(String, byte[], int, int, ClassLoader, ProtectionDomain)->Class::: unsafe define class0
jdk.internal.misc.Unsafe#defineAnonymousClass(Class, byte[], Object[])->Class:::Defines a class but does not make it known to the class loader or system dictionary
jdk.internal.misc.Unsafe#allocateInstance(Class)->Object:::Allocates an instance but does not run any constructor
jdk.internal.misc.Unsafe#allocateUninitializedArray(Class, int)->Object:::Allocates an array of a given type, but does not do zeroing
jdk.internal.misc.Unsafe#throwException(Throwable)->void:::Throws the exception without telling the verifier.
jdk.internal.misc.Unsafe#compareAndSetObject(Object, long, Object, Object)->boolean:::Atomically updates Java variable to x if it is currently holding expected
jdk.internal.misc.Unsafe#compareAndExchangeObject(Object, long, Object, Object)->Object::: unsafe compare and exchange object
jdk.internal.misc.Unsafe#compareAndExchangeObjectAcquire(Object, long, Object, Object)->Object::: unsafe compare and exchange object acquire
jdk.internal.misc.Unsafe#compareAndExchangeObjectRelease(Object, long, Object, Object)->Object::: unsafe compare and exchange object release
jdk.internal.misc.Unsafe#weakCompareAndSetObjectPlain(Object, long, Object, Object)->boolean::: unsafe weak compare and set object plain
jdk.internal.misc.Unsafe#weakCompareAndSetObjectAcquire(Object, long, Object, Object)->boolean::: unsafe weak compare and set object acquire
jdk.internal.misc.Unsafe#weakCompareAndSetObjectRelease(Object, long, Object, Object)->boolean::: unsafe weak compare and set object release
jdk.internal.misc.Unsafe#weakCompareAndSetObject(Object, long, Object, Object)->boolean::: unsafe weak compare and set object
jdk.internal.misc.Unsafe#compareAndSetInt(Object, long, int, int)->boolean:::Atomically updates Java variable to x if it is currently holding expected
jdk.internal.misc.Unsafe#compareAndExchangeInt(Object, long, int, int)->int::: unsafe compare and exchange int
jdk.internal.misc.Unsafe#compareAndExchangeIntAcquire(Object, long, int, int)->int::: unsafe compare and exchange int acquire
jdk.internal.misc.Unsafe#compareAndExchangeIntRelease(Object, long, int, int)->int::: unsafe compare and exchange int release
jdk.internal.misc.Unsafe#weakCompareAndSetIntPlain(Object, long, int, int)->boolean::: unsafe weak compare and set int plain
jdk.internal.misc.Unsafe#weakCompareAndSetIntAcquire(Object, long, int, int)->boolean::: unsafe weak compare and set int acquire
jdk.internal.misc.Unsafe#weakCompareAndSetIntRelease(Object, long, int, int)->boolean::: unsafe weak compare and set int release
jdk.internal.misc.Unsafe#weakCompareAndSetInt(Object, long, int, int)->boolean::: unsafe weak compare and set int
jdk.internal.misc.Unsafe#compareAndExchangeByte(Object, long, byte, byte)->byte::: unsafe compare and exchange byte
jdk.internal.misc.Unsafe#compareAndSetByte(Object, long, byte, byte)->boolean::: unsafe compare and set byte
jdk.internal.misc.Unsafe#weakCompareAndSetByte(Object, long, byte, byte)->boolean::: unsafe weak compare and set byte
jdk.internal.misc.Unsafe#weakCompareAndSetByteAcquire(Object, long, byte, byte)->boolean::: unsafe weak compare and set byte acquire
jdk.internal.misc.Unsafe#weakCompareAndSetByteRelease(Object, long, byte, byte)->boolean::: unsafe weak compare and set byte release
jdk.internal.misc.Unsafe#weakCompareAndSetBytePlain(Object, long, byte, byte)->boolean::: unsafe weak compare and set byte plain
jdk.internal.misc.Unsafe#compareAndExchangeByteAcquire(Object, long, byte, byte)->byte::: unsafe compare and exchange byte acquire
jdk.internal.misc.Unsafe#compareAndExchangeByteRelease(Object, long, byte, byte)->byte::: unsafe compare and exchange byte release
jdk.internal.misc.Unsafe#compareAndExchangeShort(Object, long, short, short)->short::: unsafe compare and exchange short
jdk.internal.misc.Unsafe#compareAndSetShort(Object, long, short, short)->boolean::: unsafe compare and set short
jdk.internal.misc.Unsafe#weakCompareAndSetShort(Object, long, short, short)->boolean::: unsafe weak compare and set short
jdk.internal.misc.Unsafe#weakCompareAndSetShortAcquire(Object, long, short, short)->boolean::: unsafe weak compare and set short acquire
