CoreReflectionFactory#make(GenericDeclaration, Scope):::Factory for this class:::return->new->CoreReflectionFactory
GenericsFactory#makeTypeVariable(String, FieldTypeSignature[]):::Returns a new type variable declaration:::
GenericsFactory#makeParameterizedType(Type, Type[], Type):::Returns an instance of the ParameterizedType interface that corresponds to a generic type instantiation of the generic declaration declaration with actual type arguments typeArgs:::
GenericsFactory#findTypeVariable(String):::Returns the type variable with name name, if such a type variable is declared in the scope used to create this factory:::
GenericsFactory#makeWildcard(FieldTypeSignature[], FieldTypeSignature[]):::Returns a new wildcard type variable:::
GenericsFactory#makeArrayType(Type):::Returns a (possibly generic) array type:::
GenericsFactory#makeByte():::Returns the reflective representation of type byte.:::
GenericsFactory#makeBool():::Returns the reflective representation of type boolean.:::
GenericsFactory#makeShort():::Returns the reflective representation of type short.:::
GenericsFactory#makeChar():::Returns the reflective representation of type char.:::
GenericsFactory#makeInt():::Returns the reflective representation of type int.:::
GenericsFactory#makeLong():::Returns the reflective representation of type long.:::
GenericsFactory#makeFloat():::Returns the reflective representation of type float.:::
GenericsFactory#makeDouble():::Returns the reflective representation of type double.:::
GenericsFactory#makeVoid():::Returns the reflective representation of void.:::
