GenericArrayTypeImpl#make(Type):::Factory method.:::return->new->GenericArrayTypeImpl
GenericArrayTypeImpl#getGenericComponentType():::Returns a Type object representing the component type of this array.:::return
ParameterizedTypeImpl#make(Class, Type[], Type):::Static factory:::return->new->ParameterizedTypeImpl
ParameterizedTypeImpl#getActualTypeArguments():::Returns an array of Type objects representing the actual type arguments to this type:::return->actualTypeArguments->clone
ParameterizedTypeImpl#getRawType():::Returns the Type object representing the class or interface that declared this type.:::return
ParameterizedTypeImpl#getOwnerType():::Returns a Type object representing the type that this type is a member of:::return
TypeVariableImpl#make(T, String, FieldTypeSignature[], GenericsFactory):::Factory method.:::if->throw->decl->getClass->toString->new->AssertionError->return->new->TypeVariableImpl<T>
TypeVariableImpl#getBounds():::Returns an array of Type objects representing the upper bound(s) of this type variable:::value->if->reifyBounds->return->value->clone
TypeVariableImpl#getGenericDeclaration():::Returns the GenericDeclaration object representing the generic declaration that declared this type variable.:::if->ReflectUtil->checkPackageAccess->else->if->ReflectUtil->conservativeCheckMemberAccess->else->throw->new->AssertionError->return
TypeVariableImpl#getName():::Returns the name of this type variable, as it occurs in the source code.:::return
WildcardTypeImpl#make(FieldTypeSignature[], FieldTypeSignature[], GenericsFactory):::Factory method.:::return->new->WildcardTypeImpl
WildcardTypeImpl#getUpperBounds():::Returns an array of Type objects representing the upper bound(s) of this type variable:::value->if->reifyBounds->return->value->clone
WildcardTypeImpl#getLowerBounds():::Returns an array of Type objects representing the lower bound(s) of this type variable:::value->if->reifyBounds->return->value->clone
